code,name,academic_units
AED06C,TEACHING STRATEGIES FOR INCLUSIVE EDUCATION,3
AED06D,ASSESSMENT OF SPECIAL NEEDS,3
AED06E,CONSULTATION & COLLABORATION WITH FAMILIES,3
AED08C,THINKING DEEP IN EDUCATION,3
AED08D,DIGITAL LITERACY FOR THE NET GENERATION,3
AED10A,EDUCATIONAL PSY I:THEORIES & APPL FOR LEARNING & TEACHING,2
AED16A,PRACTICES & ISSUES IN EARLY CHILDHOOD EDUCATION,3
AED16B,CURRICULUM & ASSESSMENT IN EARLY CHILDHOOD EDUCATION,3
AED16C,LEARNING ENVIRONMENTS FOR YOUNG CHILDREN,3
AED16D,CHILD DEVELOPMENT IN EARLY CHILDHOOD EDUCATION,3
AED16E,DIVERSITY IN EARLY CHILDHOOD EDUCATION,3
AED18A,CURRICULUM DESIGN,3
AED23C,CRITICAL REASONING SKILLS FOR EFFECTIVE TEACHING,2
AED28B,CRITICAL PERSPECTIVES ON EDUCATION,3
AED28D,BASIC COUNSELLING SKILLS FOR TEACHERS IN INITIAL TRG PROGRAM,3
AED28Q,GROUP COUNSELLING & GROUP WORK IN SCHOOLS,3
AED28R,DEVELOPMENTAL ISSUES IN CHILDHOOD & ADOLESCENCE,3
AED38A,MOTIVATING PUPILS TO LEARN,3
AED38B,FACILITATING ASYNCHRONOUS ONLINE DISCUSSION,3
AED38C,DESIGNING ICT-BASED CONSTRUCTIVIST ACTIVITIES,2
AED38E,PSYCHOPATHOLOGY IN YOUTHS,3
AED38G,SPECIAL TOPICS IN YOUTH WORK & GUIDANCE,3
AGE06A,BRAIN LITERACY FOR EDUCATORS,3
AGE06B,APPLICATIONS OF EDUCATIONAL NEUROSCIENCE,3
AGE06C,SOCIO-EMOTIONAL DEVELOPMENT: A NEUROSCIENCE PERSPECTIVE,3
AGE06D,NEURODIVERSITY & THE LEARNING EXPERIENCE,3
AGE06E,COMPUTATIONAL THINKING & AI IN LEARNING,3
AGE08D,DESIGNING LEARNING ENVIRONMENTS WITH THE INTERNET OF THINGS,3
AGE08H,MARINE ENVIRONMENTAL STUDIES,3
AGE18A,PHYSICS OF GEMSTONES,3
AGE18N,INTEGRATED STEM CURRICULUM,3
AGE18Q,"GENDER ISSUES IN SCIENCE, TECHNOLOGY, ENGINEERING & MATH",3
AGE18R,FOUNDATIONS TO STEM EDUCATION,3
AGE18S,EMERGING TECHNOLOGIES IN STEM & STEM EDUCATION,3
AGE18T,RESEARCH PERSPECTIVES IN STEM EDUCATION,3
AGQ28C,FOOD & SOCIETY,3
AGT08B,TAMIL CULTURE THROUGH FOOD & FESTIVALS,3
AL1001,ENHANCED CAREER FOUNDATION,2
AL1301,BUSINESS ETHICS,3
AL1601,COMMUNICATION MANAGEMENT FUNDAMENTALS,3
BA2201,ACTUARIAL ECONOMICS,4
BA2202,MATHEMATICS OF FINANCE,4
BA2203,STATISTICAL MODELLING,4
BA2204,MODELS,4
BA3201,LIFE CONTINGENCIES & DEMOGRAPHY,4
BA3202,ACTUARIAL STATISTICS,4
BA3203,ACTUARIAL ASPECTS OF ASSET VALUATION,4
