code,name,academic_units
CH2010,ENGINEERING STATISTICS,3
CH2103,FLUID SYSTEMS,3
CH2107,INTRODUCTION TO COMPUTATIONAL THINKING,3
CH2108,THERMODYNAMICS,3
CH2112,CHEMICAL REACTION ENGINEERING,3
CH2114,HEAT & MASS TRANSFER IN CHEMICAL & BIOLOGICAL SYSTEMS,3
CH2123,CHEMICAL THERMODYNAMICS,3
CH2151,UNIT OPERATIONS: FLUID-SOLID SEPARATION,3
CH2801,CHEMICAL & BIOMOLECULAR ENGINEERING LABORATORY 2A,2
CH2802,CHEMICAL & BIOMOLECULAR ENGINEERING LABORATORY 2B,2
CH3104,BIOCHEMICAL ENGINEERING,3
CH3109,DECISION TOOLS FOR ENGINEERING BUSINESS,3
CH3111,PROCESS CONTROL & DYNAMICS,3
CH3121,"CHEMICAL, BIOLOGICAL & PLANT SAFETY",2
CH3140,UNIT OPERATIONS: FLUID-FLUID SEPARATION,3
CH3802,CHEMICAL & BIOMOLECULAR ENGINEERING LABORATORY 5,3
CH4102,PROJECT MANAGEMENT FOR ENGINEERS,3
CH4106,FORMULATION OF ACTIVE PHARMACEUTICAL INGREDIENTS DOSAGE FORM,3
CH4211,CNYSP OVERSEAS FINAL YEAR PROJECT,8
CH4213,PHARMACOKINETICS & BIOPHARMACEUTICS,3
CH4223,PETROLEUM REFINING,3
CH4244,NUMERICAL METHODS & DATA ANALYTICS,3
CH4245,CASE STUDIES FOR CHEMICAL & BIOMEDICAL ENGINEERS,3
CH4303,BIOSEPARATIONS,3
CH4306,BIOANALYTICAL TECHNIQUES,3
CH4341,FUNDAMENTALS OF INTELLECTUAL PROPERTY IN CHEMICAL ENG,3
CH4702,INDEPENDENT RESEARCH PROJECT 1,3
CH4703,INDEPENDENT RESEARCH PROJECT 2,3
CH4801,FINAL YEAR DESIGN PROJECT,8
CH5200,FOOD MICROBIOLOGY,3
CH5201,FOOD CHEMISTRY,5
CH5202,FOOD PHYSICS,3
CH5203,FOOD PROCESS ENGINEERING,5
CH5204,QUALITY SYSTEMS OPERATIONS,2
CH5220,FOOD STANDARD - FOOD SAFETY & RISK ASSESSMENT,3
CH5221,FOOD INDUSTRY SEMINAR SERIES,3
CH5222,FUTURE FOODS - INTRODUCTION TO ADVANCED MEAT ALTERNATIVES,3
CM1001,FOUNDATIONS OF CHEMISTRY I,4
CM1002,FOUNDATIONS OF CHEMISTRY II,4
CM1804,MATHEMATICS FOR CHEMISTRY,2
CM2011,ANALYTICAL CHEMISTRY,3
CM2021,INORGANIC & BIOINORGANIC CHEMISTRY,3
CM2031,ORGANIC & BIOORGANIC CHEMISTRY,3
CM2041,PHYSICAL & BIOPHYSICAL CHEMISTRY 1,3
CM2061,CHEMISTRY & BIOLOGICAL CHEMISTRY LABORATORY 1,3
CM2062,CHEMISTRY & BIOLOGICAL CHEMISTRY LABORATORY 2,3
CM3011,CHEMICAL SPECTROSCOPY & APPLICATIONS,3
CM3021,ORGANOMETALLIC CHEMISTRY,3
CM3031,ORGANIC REACTION MECHANISMS & SYNTHESIS,3
CM3041,PHYSICAL & BIOPHYSICAL CHEMISTRY 2,3
CM3061,CHEMISTRY & BIOLOGICAL CHEMISTRY LABORATORY 3,3
CM3062,CHEMISTRY & BIOLOGICAL CHEMISTRY LABORATORY 4,3
CM4011,ADVANCED ANALYTICAL CHEMISTRY,3
CM4012,STRUCTURAL DETERMINATION,3
CM4013,CURRENT TOPICS IN ANALYTICAL CHEMISTRY,3
CM4021,CURRENT TOPICS IN INORGANIC CHEMISTRY,3
CM4031,ASYMMETRIC SYNTHESIS,3
CM4032,CURRENT TOPICS IN SYNTHETIC ORGANIC CHEMISTRY,3
CM4033,METAL MEDIATED REACTIONS,3
CM4042,CHEMICAL KINETICS & DYNAMICS,3
CM4043,MOLECULAR MODELLING:PRINCIPLES & APPLICATIONS,3
CM4044,ARTIFICIAL INTELLIGENCE IN CHEMISTRY,3
CM4053,PHARMACEUTICAL CHEMISTRY,3
CM4061,MATERIALS CHEMISTRY,3
CM4062,POLYMER CHEMISTRY,3
CM4063,NANOSCIENCE & NANOTECHNOLOGY,3
CM5002,FORENSIC SCIENCE,3
CM5012,INTRODUCTION TO FORENSIC SCIENCE,2
CM5013,SCENT CREATION: THE ART & SCIENCE OF PERFUMERY,3
CM5022,APPLICATIONS OF FORENSIC SCIENCE,1
CM5081,MEDICINAL CHEMISTRY,3
CM5092,CHEMICAL SUSTAINABILITY - AN ASIAN PERSPECTIVE,3
CM5101,FOOD CHEMISTRY & NUTRITION,3
CS0102,MAKING SENSE OF BIG DATA,3
CS0201,FOUNDATIONS OF COMMUNICATION STUDIES,3
CS0204,BASIC MEDIA WRITING,3
CS0209,"MEDIA LAW, ETHICS & POLICY",3
CS0888,ARTIFICIAL INTELLIGENCE & NEW TECHNOLOGY LAW,3
CS2005,SPEECH & ARGUMENTATION,3
CS2007,COMMUNICATION HISTORY & THEORIES,3
CS2008,FUNDAMENTALS OF RESEARCH,3
CS2021,NEWS REPORTING & WRITING,3
CS2023,PRINT & DIGITAL PUBLICATIONS,3
CS2024,WEB DESIGN & TECHNOLOGIES,3
CS2025,IMAGE & SOUND PRODUCTION,3
CS2026,MEDIA PRESENTATION & PERFORMANCE,3
CS2027,GENRE & NARRATIVE STRATEGIES,3
CS2028,PRODUCTION MANAGEMENT FOR TV & CINEMA,3
CS2030,AUDIO IN MEDIA,3
CS2031,CREATIVE STRATEGIES,3
CS2033,CORPORATE COMMUNICATIONS MANAGEMENT,3
CS2044,PHOTOJOURNALISM,3
CS2045,ONLINE JOURNALISM,3
CS2054,INTERPERSONAL COMMUNICATION,3
CS2055,ORGANISATIONAL COMMUNICATION,3
CS2056,PSYCHOLOGY &  COMMUNICATION,3
CS2057,MEDIA EFFECTS,3
CS2058,INTEGRATED MARKETING COMMUNICATION,3
CS2059,SOCIAL CONSEQUENCES OF MOBILE COMMUNICATION,3
CS2066,FILM FESTIVAL PRACTICUM,3
CS2090,DIGITAL MEDIA ENTREPRENEURSHIP,3
CS2101,PUBLIC RELATIONS WRITING,3
CS2102,"INTRODUCTION TO ADVERTISING, SOCIETY, & CONSUMER ANALYTICS",3
CS2103,PUBLIC RELATIONS & COMMUNICATIONS MANAGEMENT,3
CS2166,FILM FESTIVAL PRACTICUM,4
CS2190,CINEMA & THE ENVIRONMENT,3
CS2300,ACTING &  DIRECTING FOR TV &  FILM,3
CS2400,FOUNDATION OF INFORMATION ANALYTICS,3
CS2401,"INFORMATION ANALYTICS: TOOLS, TECHNIQUES & TECHNOLOGIES",3
CS2403,TELLING STORIES WITH DATA,3
CS2405,DATA MINING,3
CS2408,MISINFORMATION & MEDIA LITERACY,3
CS4018,SPECIALISED JOURNALISM:BUSINESS & ECONOMICS,4
CS4020,FEATURE WRITING,4
CS4023,ADVANCED PHOTOJOURNALISM,4
CS4024,WRITING FOR CINEMA & TV,4
CS4026,DOCUMENTARY PRODUCTION: CONCEPTS & APPLICATIONS,4
CS4027,NARRATIVE FILM & TV:CONCEPTS & APPLICATIONS,4
CS4029,ADVERTISING CREATIVITY & COPYWRITING,4
CS4030,CRISIS MANAGEMENT,4
CS4031,MEDIA PLANNING & STRATEGIES,4
CS4032,COMMUNICATION CAMPAIGNS,4
CS4037,AUDIENCE RESEARCH METHODS,4
CS4042,ADVANCED RESEARCH METHODS,4
CS4050,BAYESIAN DATA ANALYSIS & ITS APPLICATIONS,4
CS4053,POPULAR CINEMA,4
CS4054,ASIAN CINEMA,4
CS4058,INTERCULTURAL COMMUNICATION,4
CS4060,PERSUASION &  SOCIAL INFLUENCE,4
CS4061,GLOBAL MEDIA ISSUES &  POLICY,4
CS4066,ISSUES IN PUBLIC RELATIONS,4
CS4068,ISSUES IN CINEMA STUDIES,4
CS4070,ISSUES IN ADVERTISING,4
CS4072,DIGITAL MEDIA & HUMAN RELATIONSHIPS,4
CS4074,CONSUMER BEHAVIOR,4
CS4075,SELECTED TOPICS IN PR:EVALUATING & PRODUCING CAMPAIGN RESULT,4
CS4090,GOING OVERSEAS FOR ADVANCED REPORTING,4
CS4092,NEW MEDIA &  SOCIETY,4
CS4097,OVERSEAS DIGITAL DOCUMENTARY - 'ODYSSEE',4
CS4131,RISK COMMUNICATION,4
CS4150,HEALTH COMMUNICATION,4
CS4185,FILM FESTIVAL PRACTICUM,4
CS4196,IMPRESSION MANAGEMENT & SELF-PRESENTATION ONLINE,4
CS4197,WAR & CINEMA,4
CS4198,POPULAR ANIMATION IN A GLOBAL CONTEXT,4
CS4199,CHILDREN & MEDIA,4
CS4262,BRANDED CONTENT MARKETING FOR SOCIAL MEDIA CAMPAIGNS,4
CS4264,INTRODUCTION TO NETWORK ANALYSIS,4
CS4265,GLOBAL FILM CULTURES: HOLLYWOOD & THE WEST,4
CS4267,EFFECTS OF VIRTUAL REALITY TECHNOLOGIES,4
CS4269,BOTS WITH PERSONALITY-DESIGNING AI AGENTS FOR COMMUNICATION,4
CS4270,CINEMA & NATION,4
CS4271,HUMAN-AI INTERACTION & COMMUNICATION,4
CS4311,PROMOTING SUSTAINABILITY,4
CS4312,WOMEN IN FILM & TV INDUSTRIES,4
CS4313,PROGRAMMING IN PYTHON,4
CS4315,"SOCIAL MEDIA, SELF & SOCIETY",4
CS4316,STORYTELLING IN ADVERTISING,4
CS4319,TELLING THE STORY IN MULTIMEDIA,4
CS4321,"DIGITAL INCLUSION & DISABILITY:TECH, INCL. DES & SOC FUTURES",4
CS4323,PERSUASIVE TECHNOLOGY FOR STRATEGIC COMMUNICATION,4
CS4329,DIGITAL ADVERTISING ESSENTIALS,4
CS5060,INTRODUCTION TO ADVERTISING,3
CS5081,INTRODUCTION TO KOREA STUDIES,3
CS5116,INTRODUCTION TO NEWS MEDIA,3
CS5207,"FIFTY DISCOVERIES, FIFTY INVENTIONS",3
CS5209,COLLECTIVE PROBLEM SOLVING,3
CS5300,SCIENCE FICTION FILM,3
CV0003,INTRODUCTION TO DATA SCIENCE & ARTIFICIAL INTELLIGENCE,3
CV1011,MECHANICS OF MATERIALS,4
CV1012,FLUID MECHANICS,3
CV1013,CIVIL ENGINEERING MATERIALS,3
CV1014,INTRODUCTION TO COMPUTATIONAL THINKING,3
CV1711,ENGINEERING DRAWING  & 3D BUILDING INFORMATION MODELLING,1
CV2011,STRUCTURAL ANALYSIS I,3
CV2012,STRUCTURAL ANALYSIS II,3
CV2013,ENGINEERING GEOLOGY & SOIL MECHANICS,3
CV2014,GEOTECHNICAL ENGINEERING,3
CV2019,MATRIX ALGEBRA & COMPUTATIONAL METHODS,3
CV2020,WATER RESOURCES ENGINEERING,3
CV2711,CIVIL ENGINEERING LABORATORY A,1
CV2712,CIVIL ENGINEERING LABORATORY B,1
CV3011,REINFORCED CONCRETE DESIGN,3
CV3012,STEEL DESIGN,3
CV3013,FOUNDATION ENGINEERING,3
CV3014,TRANSPORTATION ENGINEERING,3
CV3016,CONSTRUCTION TECHNOLOGY & PROCESSES,3
CV3017,URBAN WATER CIRCULARITY,2
CV4012,PROJECT PLANNING & MANAGEMENT,2
CV4101,STRUCTURAL ANALYSIS III,3
CV4107,SUSTAINABLE PROJECT ECONOMICS & FINANCE,3
CV4110,EXCAVATION & RETAINING WALLS,3
CV4111,GROUND ENGINEERING,3
CV4112,TRAFFIC ENGINEERING,3
CV4113,HIGHWAY ENGINEERING,3
CV4116,COASTAL ENGINEERING,3
CV4120,ADVANCED REINFORCED CONCRETE DESIGN,3
CV4121,INLAND & COASTAL FLOOD MANAGEMENT,3
CV4711,SEMINARS ON BUILT ENVIRONMENT,1
CV4912,INTEGRATED DESIGN PROJECT,3
CV5101,SUSTAINABLE BUILT ENVIRONMENT,3
CY0001,WRITING ACROSS THE DISCIPLINES,3
CY0002,ETHICS,3
CY1001,CELL,3
CY1007,CLIMATE CHANGE,3
CY1101,MOLECULE,4
CY1307,QUANTUM,3
CY1308,PHYSICS,3
CY1500,INTRODUCTION TO RESEARCH,2
CY1601,MATHEMATICS I,4
CY1602,MATHEMATICS II,4
CY2001,RESEARCH ATTACHMENT 1,4
CZ1105,DIGITAL LOGIC,3
CZ1107,DATA STRUCTURES & ALGORITHMS,3
CZ1113,PHYSICS FOR COMPUTING,2
CZ2002,OBJECT ORIENTED DESIGN & PROGRAMMING,3
CZ2003,COMPUTER GRAPHICS & VISUALISATION,3
CZ2004,HUMAN COMPUTER INTERACTION,3
CZ2005,OPERATING SYSTEMS,3
CZ2006,SOFTWARE ENGINEERING,3
CZ2007,INTRODUCTION TO DATABASES,3
CZ2100,PROBABILITY & STATISTICS FOR COMPUTING,3
CZ2101,ALGORITHM DESIGN & ANALYSIS,3
CZ3001,ADVANCED COMPUTER ARCHITECTURE,3
CZ3002,ADVANCED SOFTWARE ENGINEERING,3
CZ3004,MULTIDISCIPLINARY DESIGN PROJECT,4
CZ3005,ARTIFICIAL INTELLIGENCE,3
CZ3006,COMPUTER NETWORK,3
CZ3007,COMPILER TECHNIQUES,3
CZ4001,VIRTUAL & AUGMENTED REALITY,3
CZ4003,COMPUTER VISION,3
CZ4010,APPLIED CRYPTOGRAPHY,3
CZ4011,PARALLEL COMPUTING,3
CZ4013,DISTRIBUTED SYSTEMS,3
CZ4015,SIMULATION  &  MODELLING,3
CZ4016,ADVANCED TOPICS IN ALGORITHMS,3
CZ4022,WIRELESS & MOBILE NETWORKS,3
CZ4023,ADVANCED COMPUTER NETWORKS,3
CZ4031,DATABASE SYSTEM PRINCIPLES,3
CZ4032,DATA ANALYTICS & MINING,3
CZ4034,INFORMATION RETRIEVAL,3
CZ4041,MACHINE LEARNING,3
CZ4042,NEURAL NETWORK & DEEP LEARNING,3
CZ4045,NATURAL LANGUAGE PROCESSING,3
CZ4046,INTELLIGENT AGENTS,3
CZ4052,CLOUD COMPUTING,3
CZ4055,CYBER PHYSICAL SYSTEM SECURITY,3
CZ4062,COMPUTER SECURITY,3
CZ4064,SECURITY MANAGEMENT,3
CZ4067,SOFTWARE SECURITY,3
CZ4069,CONCEPTS & TECHNIQUES FOR MALWARE ANALYSIS,3
CZ4070,CYBER THREAT INTELLIGENCE,3
CZ4071,NETWORK SCIENCE,3
CZ4123,BIG DATA MANAGEMENT,3
CZ4124,DATA VISUALISATION,3
CZ4153,BLOCKCHAIN TECHNOLOGY,3
CZ4171,INTERNET OF THINGS: COMMUNICATIONS & NETWORKING,3
CZ5008,DECODE THE INDUSTRY: INSIGHTS & SKILLS FOR CAREER SUCCESS,1
DA1000,THINKING & COMMUNICATING VISUALLY I,3
DA2002,THINKING & COMMUNICATING VISUALLY II,3
DA2004,EXHIBITION DESIGN,3
DA3000,THINKING & COMMUNICATING VISUALLY III,3
DA5000,APPLIED DRAWING,3
DA5001,PAINTING,3
DA5002,WATERMEDIA LANDSCAPE PAINTING,3
DA5003,KINETIC ANATOMY:DYNAMIC FIG DRAWING FOR ARTISTS & DESIGNERS,3
DA5005,"COMPOSITIONAL STUDY - SHAPES, SPACE & COLOR INTERACTION",3
DA5007,DRAWING FOR ANIMATION,3
DD0000,WRITING NARRATIVES FOR CREATIVE MEDIA,3
DD0003,INFORMATION VISUALIZATION,3
DD1003,INTRODUCTION TO THE HISTORIES OF ART I: WESTERN ART HISTORY,3
DD1004,INTRODUCTION TO THE HISTORIES OF ART II: ASIAN ART HISTORY,3
DD2013,VISUALIZATION OF CULTURAL HERITAGE,3
DD3016,HISTORY OF DESIGN,3
DD4005,MEDIA ART INTERDISCIPLINARY SEMINAR,3
DD4006,DESIGN ART INTERDISCIPLINARY SEMINAR,3
DD5008,INDEPENDENT STUDY,3
DD5009,DESIGN THINKING,3
DF2000,DIGITAL FILM PRODUCTION I,3
DF2001,FILM EDITING,3
DF2002,SURVEY OF EXPERIMENTAL FILM,3
DF2003,CINEMATOGRAPHY  I,3
DF2004,SOUND IN MEDIA,3
DF2005,WRITING FOR FILM,3
DF2006,ETHNOGRAPHIC FILM,3
DF2009,HISTORY OF WORLD CINEMA,3
DF2011,SOUND FOR FILM,3
DF2012,ADVANCED SCREENWRITING,3
DF3004,DIGITAL FILM PRODUCTION II,3
DF3005,AUDIO POST-PRODUCTION FOR FILM,3
DF3010,EXPERIMENTAL FILM PRODUCTION,3
DF3011,ADVANCED DIRECTING FOR FILM,3
DF3012,FILM DIRECTING,3
DF3013,SUSTAINABLE PRODUCING FOR FILM & MEDIA,3
DF3014,CREATIVE PRODUCING FOR FILM & MEDIA,3
DF5001,DOCUMENTARY FILMMAKING,3
DF5002,CINEMATOGRAPHY II,3
DM2000,INTERACTIVE I,3
DM2006,NARRATIVES FOR INTERACTION,3
DM2007,INTERACTIVE II,3
DM2008,PROGRAMMING FOR INTERACTION,3
DM2009,PERFORMANCE & INTERACTION,3
DM2011,ISSUES IN INTERACTIVE MEDIA PRACTICE,3
DM2012,EXPLORATIONS IN A.I. GENERATED ART,3
DM3008,GENERATIVE ART,3
DM3009,AUDIO-VISUAL CREATIVE CODING,3
DM3010,PROJECT DEVELOPMENT & PLANNING,3
DM3013,INTERACTIVE SPACES,3
DM3014,INTERACTIVE DEVICES,3
DM3015,INTERACTIVE ENVIRONMENTS,3
DM5000,CREATIVE ROBOTICS,3
DM5001,WEB DESIGN,3
DN1001,FOUNDATION DRAWING,3
DN1002,FOUNDATION 2D,3
DN1003,FOUNDATION 3D,3
DN1004,FOUNDATION 4D,3
DN1009,GRAPHIC FORM,3
DN1010,EXPERIMENTAL INTERACTION,3
DN1011,FORM & VISUALISATION,3
DN1013,CONCEPTS OF DIGITAL IMAGING,3
DN1016,VISUAL STORYTELLING,3
DN1017,MEDIA ART & REPRESENTATION,3
DP2001,DIGITAL PHOTOGRAPHY,3
DP2002,HISTORY OF PHOTOGRAPHY,3
DP2005,PHOTOGRAPHY: COLOUR & CONTEXT,3
DP2006,PRINCIPLES OF LIGHTING,3
DP2008,EXPERIMENTAL PHOTOGRAPHY,3
DP2011,PHOTOGRAPHY: LIGHT & LOCATION,3
DP3000,PHOTOGRAPHIC MEDIA & PRESENTATION,3
DP3003,SOCIALLY ENGAGED PHOTOGRAPHY,3
DP3008,LOCATION EXPERIENCES IN PHOTOGRAPHY,3
DP3010,MOVING IMAGE FOR MEDIA ARTISTS,3
DP3011,DOCUMENTARY PRACTICES,3
DP4001,EXTENDED PHOTOGRAPHY,3
DP5000,BLACK & WHITE FILM PHOTOGRAPHY,3
DR2000,CONCEPTUAL DESIGN,3
DR2001,PRODUCT DESIGN I,3
DR2002,EMERGING PRODUCT DESIGN PRACTICES,3
DR2004,PRODUCT DESIGN II,3
DR2005,COMPUTER AIDED DESIGN WORKSHOP I,3
DR2008,DESIGN FUTURES & EXPERIENCES,3
DR2014,BODY-CENTRIC DESIGN,3
DR3002,COMPUTER AIDED DESIGN II,3
DR3005,PRODUCT DESIGN IV,3
DR3006,PRODUCT DESIGN III,3
DR3007,STUDIES IN FORM,3
DR3008,ADVANCED DEVELOPMENT & PROTOTYPING,3
DR5000,SURFACE DESIGN,3
DR5002,PRODUCTS IN ASIAN CULTURAL CONTEXT,3
DR5003,INTRODUCTION TO DESIGN,3
DR5004,DESIGN & SYSTEMS THINKING,3
DT2000,BASIC PRINCIPLES OF MOTION,3
DT2001,3D PRODUCTION,3
DT2005,LIGHTING & RENDERING PIPELINE,3
DT2007,"HISTORY & CULTURE OF ANIMATION, VFX & GAME",3
DT2009,STORYBOARDING & PRODUCTION DESIGN,3
DT2010,DIGITAL COMPOSITING,3
DT2011,STOP MOTION PRINCIPLES,3
DT2015,ADVANCED 3D PRODUCTION,3
DT2016,3D CHARACTER ANIMATION,3
DT2017,WRITING FOR ANIMATION,3
DT2018,ANIMATION FOR GAMES I,3
DT2019,ANIMATION FOR GAMES II,3
DT2020,GAME DESIGN I,3
DT2021,GAME ASSETS DESIGN,3
DT3000,ADVANCED DRAWN ANIMATION,3
DT3004,RIGGING FOR ANIMATION,3
DT3008,RESEARCH & VISUAL DEVELOPMENT,3
DT3009,CINEMATIC CONCEPTS & MOTION CAPTURE APPLICATIONS,3
DT3010,VISUAL EFFECTS I,3
DT3011,VISUAL EFFECTS II,3
DT3012,ACTING FOR ANIMATION,3
DT3013,ANIMATION SEMINAR,3
DT3014,GAME DESIGN II,3
DT3015,STOP MOTION SEMINAR,3
DT3016,GAME JAM,3
DT3017,GAME SEMINAR,3
DT5000,DIGITAL SCULPTING,3
DT5001,GRAPHIC STORYTELLING,3
DT5002,ISSUES IN ANIMATION PRACTICE,3
DT5003,DIGITAL PAINTING,3
DT5004,FUNDAMENTALS OF IMMERSIVE 360 DEGREES & VR EXPERIENCES,3
DV2000,TYPOGRAPHY I,3
DV2001,VISUAL COMMUNICATION I,3
DV2002,ILLUSTRATION FOR DESIGNERS,3
DV2003,BEYOND THE LOGO: INTRODUCTION TO BRANDING,3
DV2004,TYPOGRAPHY II,3
DV2005,VISUAL COMMUNICATION II,3
DV2006,DESIGNED EXPERIENCES,3
DV2007,ISSUES IN VISUAL COMMUNICATION PRACTICE,3
DV2008,INTERFACE DESIGN,3
DV3002,EDITORIAL DESIGN,3
DV3003,SPATIAL DESIGN,3
DV3008,VISUAL COMMUNICATION IV,3
DV3010,VISUAL COMMUNICATION III,3
DV3011,TYPOGRAPHY III,3
DV3012,PRODUCTION FOR GRAPHIC DESIGNERS,3
DV5001,DESIGN IN MOTION,3
DV5002,PACKAGING DESIGN,3
E1102L,PHYSICS FOUNDATION FOR ELECTRICAL & ELECTRONIC ENGINEERING,0
E2005L,ELECTRICAL DEVICES & MACHINES,0
E2101L,CIRCUIT ANALYSIS,0
E2103L,SEMICONDUCTOR FUNDAMENTALS,0
E2104L,DIGITAL ELECTRONICS,0
E2110L,SIGNALS & SYSTEMS,0
E3011L,MODELLING & CONTROL,0
E3012L,COMMUNICATION PRINCIPLES,0
E3013L,SEMICONDUCTOR DEVICES & PROCESSING,0
E3014L,DIGITAL SIGNAL PROCESSING,0
E3015L,POWER SYSTEMS & CONVERSION,0
E3017L,COMPUTER COMMUNICATIONS,0
E3018L,INTRODUCTION TO PHOTONICS,0
E3019L,INTEGRATED ELECTRONICS,0
E3101L,ENGINEERING ELECTROMAGNETICS,0
E3102L,MICROPROCESSORS,0
EE1071,INTRODUCTION TO EEE LABORATORIES,1
EE1102,PHYSICS FOUNDATION FOR ELECTRICAL & ELECTRONIC ENGINEERING,3
EE2005,ELECTRICAL DEVICES & MACHINES,3
EE2073,INTRODUCTION TO EEE DESIGN & PROJECT,2
EE2101,CIRCUIT ANALYSIS,3
EE2102,ANALOG ELECTRONICS,3
EE2103,SEMICONDUCTOR FUNDAMENTALS,3
EE3011,MODELLING & CONTROL,3
EE3013,SEMICONDUCTOR DEVICES & PROCESSING,3
EE3015,POWER SYSTEMS & CONVERSION,3
EE3018,INTRODUCTION TO PHOTONICS TECHNOLOGIES,3
EE3019,INTEGRATED ELECTRONICS,3
EE3101,ENGINEERING ELECTROMAGNETICS,3
EE3180,DESIGN & INNOVATION PROJECT,3
EE4227,CONTROL ENGINEERING DESIGN,3
EE4228,INTELLIGENT SYSTEMS DESIGN,3
EE4268,ROBOTICS & AUTOMATION,3
EE4273,DIGITAL CONTROL SYSTEMS,3
EE4285,COMPUTATIONAL INTELLIGENCE,3
EE4323,MIXED-SIGNAL IC DESIGN,3
EE4324,RADIO FREQUENCY INTEGRATED SYSTEM DESIGN,3
EE4341,ADVANCED ANALOG CIRCUITS,3
EE4343,RADIO FREQUENCY CIRCUITS,3
EE4344,ANALYSIS & DESIGN OF INTEGRATED CIRCUITS,3
EE4523,POWER ENGINEERING DESIGN,3
EE4524,DESIGN OF CLEAN ENERGY SYSTEMS,3
EE4530,POWER SYSTEM ANALYSIS & CONTROL,3
EE4532,POWER ELECTRONICS & DRIVES,3
EE4533,POWER APPARATUS & SYSTEM PROTECTION,3
EE4534,MODERN DISTRIBUTION SYSTEMS WITH RENEWABLE RESOURCES,3
EE4623,CMOS PROCESS & DEVICE SIMULATION,3
EE4624,DEVICE PARAMETER EXTRACTION & LAYOUT IMPLEMENTATION,3
EE4645,MICROFABRICATION ENGINEERING,3
EE4647,MICROELECTRONIC DEVICES,3
EE4903,PHYSIOLOGICAL SYSTEMS ANALYSIS,3
EE4904,BIOMEDICAL INSTRUMENTATION,3
EE5081,INNOVATION & TECHNOLOGY MANAGEMENT,3
EE5082,INTERDISCIPLINARY PROJECT WORK,6
EE5083,FROM PASSION TO ACTION: SIX KEY STEPS TO A START-UP!,3
EE5093,ENERGY DEVICES FOR SUSTAINABLE URBAN ENVIRONMENT,3
EE5094,IMPACT OF ELECTROMAGNETIC RADIATION ON HUMANS,3
EE6108,COMPUTER NETWORKS,3
EE6111,5G COMMUNICATION & BEYOND,3
EE6225,MULTIVARIABLE CONTROL SYSTEMS ANALYSIS & DESIGN,3
EE6301,SMART BIOSENSORS & SYSTEMS FOR HEALTHCARE,3
EE6309,VLSI SYSTEMS,3
EE6311,INTEGRATED NANOPHOTONIC DEVICES,3
EE6403,DISTRIBUTED MULTIMEDIA SYSTEMS,3
EE6405,NATURAL LANGUAGE PROCESSING,3
EE6427,VIDEO SIGNAL PROCESSING,3
EE6601,ADVANCED WAFER PROCESSING,3
EE6610,INTEGRATED CIRCUIT (IC) PACKAGING,3
EE7913,SATELLITE TECHNOLOGY & SPACE MISSION DESIGN,3
EG1001,ENGINEERS IN SOCIETY,2
EG2810,MATHEMATICS A,4
EG5003,PRODUCT DEVELOPMENT CHALLENGE,3
EM5103,WATER RESOURCES MANAGEMENT,3
EM5104,AIR QUALITY MANAGEMENT,3
EM5109,ENVIRONMENTAL ISSUES & SUSTAINABILITY,3
EN1001,ENVIRONMENTAL CHEMISTRY,3
EN2002,MICROBIOLOGICAL PRINCIPLES OF ENVIRONMENTAL ENGINEERING,3
EN2003,WATER SUPPLY ENGINEERING,3
EN2004,GEO-ENVIRONMENT & SOIL MECHANICS,3
EN2005,ENVIRONMENTAL HEALTH & SAFETY MANAGEMENT,3
EN2711,ENVIRONMENTAL ENGINEERING LABORATORY A,1
EN2712,ENVIRONMENTAL ENGINEERING LABORATORY B,1
EN3001,SOLID & HAZARDOUS WASTE MANAGEMENT,3
EN3002,WASTEWATER ENGINEERING,3
EN3003,ENVIRONMENTAL TRANSPORT PROCESSES,3
EN3004,AIR POLLUTION CONTROL ENGINEERING,3
EN3006,ENERGY RESOURCES ENGINEERING,3
EN4001,ENVIRONMENTAL IMPACT ASSESSMENT & MONITORING,3
EN4003,ENVIRONMENTAL SYSTEMS ANALYSIS,2
EN4102,MEMBRANES FOR ENVIRONMENTAL APPLICATIONS,3
EN4104,ENVIRONMENTAL HYDRAULICS,3
EN4107,SUSTAINABILITY MANAGEMENT & REPORTING,3
EN4711,SEMINARS ON BUILT ENVIRONMENT,1
EN4912,INTEGRATED DESIGN PROJECT,3
ES0001,THE PHYSICAL ENVIRONMENTS OF SINGAPORE,3
ES0002,FUNDAMENTALS OF DATA SCIENCE FOR EESS,3
ES0138,INTRODUCTION TO SCIENTIFIC WRITING,2
ES0238,WRITING SCIENCE FOR NON-SCIENTISTS,2
ES1001,E2S2: ENVIRONMENT & SOCIETY,4
ES1003,E2S2: SOLID EARTH,4
ES1006,INTRODUCTORY FIELD EXPERIENCE,4
ES1007,CLIMATE CHANGE,3
ES2001,COMPUTATIONAL EARTH SYSTEMS SCIENCE,4
ES2002,EARTH MATERIALS,3
ES2003,E2S2 BIOSPHERE,4
ES2004,SEDIMENTARY GEOLOGY,3
ES2005,GEOLOGY OF EARTHQUAKES,3
ES2203,GLOBAL ENVIRONMENTAL POLITICS & GOVERNANCE,3
ES2301,PRINCIPLES OF HEREDITY & ECOLOGICAL GENETICS,3
ES2302,"FIELD STUDIES IN ENVIRONMENT, ECOLOGY & SOCIETY",2
ES2303,INTRODUCTION TO ECOLOGY,3
